id_projet;prj_etat;prj_date;prj_dateupdate;prj_debut;prj_fin;prj_typeref;prj_type;prj_reference;prj_devise;prj_change;prj_deviseagence;prj_changeagence;prj_adr;prj_cp;prj_ville;prj_pays;prj_lotstab;prj_commentaires;prj_turnover_excludingtax;prj_margin_excludingtax;prj_profitability;id_profil_x;id_ao;id_crmcontact;id_crmsociete;id_societe_x;id_pole_x;id_profilcdp;csoc_societe;csoc_intervention;csoc_type;csoc_metiers;csoc_web;csoc_tel;csoc_ville;csoc_pays;csoc_date;id_profil_y;id_societe_y;id_pole_y;id_action_previous;id_action_next;id_provenance;csoc_cp;id_bondecommande;bdc_date;bdc_refclient;bdc_ref;bdc_accordclient;bdc_turnoverinvoicedexcludtax;bdc_turnoverorderedexcludtax;bdc_deltainvoicedexcludtax;bdc_etat;id_respuser;bdc_typreglement;bdc_condreglement;bdc_typepayment;id_profil;profil_trigramme;id_achat;achat_datecrea;achat_dateupdate;achat_date;achat_etat;achat_montantht;achat_quantité;achat_titre;achat_ref;achat_type;achat_commentaire
134;1;2016-11-07T15:19:39+0100;2023-09-15T10:34:07+0200;2017-01-01;2023-12-31;6;2;SE16090197;0.0;1.0;0.0;1.0;Hotel du Département - Serv Informatique BP 159 - Place Saint-Arnoux;05008;GAP Cedex;France;;;45378.86;1988.7799999999988;4.583490051182203;368;197.0;32;20;1;;368;DÉPARTEMENT DES HAUTES ALPES (CG 05);Secteur public;1;CAISSE EPARGNE;www.cg05.fr;0492403815;GAP Cedex;France;2016-01-10T10:16:35+0100;368;1;;;;-1;05008;3340.0;2023-02-23;2023-00000340;BM1000000003340;1.0;6600.14;6600.14;0.0;1.0;1458.0;schedule;1.0;0.0;368;ATA;1485.0;2023-02-23T12:08:48+0100;2023-02-23T12:09:06+0100;2023-01-01;1.0;6281.28;1.0;Maintenance SAP BO 2023 - Unitaire;ACH22121485;0.0;
142;1;2016-12-01T16:50:10+0100;2023-02-15T14:09:45+0100;2019-06-01;2023-12-31;6;2;SE16120232;0.0;1.0;0.0;1.0;;;;France;;;64222.4;29834.71;86.75985505278196;255;232.0;222;143;1;;255;EBI SA - ECOBANK;Banque;1;Caisse d'Epargne Languedoc roussillon;;;PARIS LA DEFENSE;France;2016-11-21T15:32:01+0100;255;1;;;;1;92057;3302.0;2023-02-15;SE16120232 MA07;BM1000000003302;1.0;12266.65;12266.65;0.0;1.0;52.0;schedule;1.0;0.0;255;Bd';1466.0;2023-02-15T14:09:45+0100;2023-02-15T14:09:45+0100;2023-02-15;1.0;6461.72;1.0;Maintenance SAP BO Année 2023;ACH23021466;0.0;
145;1;2016-12-12T13:44:01+0100;2023-09-15T10:35:19+0200;2016-12-12;2023-12-31;6;2;SE16110227;0.0;1.0;0.0;1.0;530 rue de la Patience CS20149;74805;LA ROCHE SUR FORON Cedex;France;;;11648.35;5177.93;80.02463518596937;255;227.0;37;23;1;;255;EPSM DE LA VALLEE DE L'ARVE;Secteur public;1;caisse d'Epargne;;;LA ROCHE SUR FORON Cedex;France;2016-01-10T10:16:36+0100;255;1;;;;-1;74805;3346.0;2023-02-24;23000348;BM1000000003346;1.0;1318.37;1318.37;0.0;1.0;1458.0;schedule;1.0;0.0;255;Bd';1486.0;2023-02-24T16:31:31+0100;2023-02-24T16:31:43+0100;2023-01-01;1.0;936.68;1.0;Maintenance SAP BO 2023;ACH23021486;0.0;
149;1;2016-12-19T12:16:00+0100;2022-12-06T14:58:55+0100;2017-01-01;2023-12-31;6;2;SE16090200;0.0;1.0;0.0;1.0;713 rue Denis Papin;73094;La Motte-Servolex Cedex 9;France;;;101905.7;29171.47;40.10693452037645;17;200.0;65;39;1;;17;ROUTIN;Agroalimentaire;1;caisse d'Epargne;;04 79 25 68 76;La Motte-Servolex Cedex 9;France;2016-01-10T10:16:36+0100;17;1;;;;-1;73094;3024.0;2022-12-06;22-001238;BM1000000003024;1.0;14821.7;14821.7;0.0;0.0;52.0;schedule;1.0;0.0;17;ARE;1291.0;2022-12-06T14:58:55+0100;2022-12-06T14:58:55+0100;2022-12-06;1.0;10529.23;1.0;Maintenance SAP BO 2023;ACH22121291;0.0;
150;1;2016-12-20T10:46:02+0100;2023-09-15T10:41:02+0200;2017-01-01;2023-12-31;6;2;BR16120234;0.0;1.0;0.0;1.0;18 Rue des Tonneliers;21200;BEAUNE;France;;résiliation au 31/12/2023 (en att LRAR);31084.87;6456.82;26.21734160845053;368;238.0;73;46;1;;368;MAISON LOUIS LATOUR;Agroalimentaire;1;caisse d'Epargne;;;BEAUNE;France;2016-01-10T10:16:36+0100;368;1;;;;-1;21200;3307.0;2023-02-16;SE16120234 MA;BM1000000003307;0.0;5272.02;5272.02;0.0;1.0;52.0;schedule;61.0;0.0;368;ATA;1413.0;2023-01-23T12:16:35+0100;2023-01-23T12:16:35+0100;2022-12-12;1.0;4157.9;1.0;Maintenance SAP BO 2023 - Unitaire;ACH22121413;0.0;
151;1;2016-12-28T14:57:21+0100;2023-09-15T10:35:07+0200;2016-12-28;2023-12-31;6;2;SE16090203;0.0;1.0;0.0;1.0;202, avenue Jean Jaurès;93332;NEUILLY SUR MARNE;France;;;67965.22;33186.42;95.42140614397276;255;203.0;137;101;1;;255;EPS VILLE EVRARD;Secteur public;1;;;;NEUILLY SUR MARNE;France;2016-01-10T10:18:30+0100;255;1;;;;-1;93332;3207.0;2023-01-03;IN 776806;BM1000000003207;1.0;9885.22;9885.22;0.0;1.0;52.0;schedule;1.0;0.0;255;Bd';1406.0;2023-01-19T16:45:43+0100;2023-01-19T16:45:43+0100;2022-12-12;1.0;0.0;1.0;Maintenance SAP BO 2023 - Unitaire;ACH22121406;0.0;
172;1;2017-04-10T10:31:40+0200;2023-09-15T11:33:54+0200;2017-04-10;2024-07-26;6;2;BR17020246;0.0;1.0;0.0;1.0;Place d'Arménie;01700;ST MAURICE DE BEYNOST;France;;;59120.2;14403.809999999998;32.211477715441696;255;246.0;232;43;1;;255;TORAY FILMS EUROPE S.A.S.;Chimie;1;CAISSE EPARGNE;;;ST MAURICE DE BEYNOST;France;2016-01-10T10:16:36+0100;255;1;;;;-1;01700;3395.0;2023-03-09;8300001612;BM1000000003395;1.0;8343.2;8343.2;0.0;1.0;52.0;schedule;52.0;0.0;255;Bd';1583.0;2023-07-25T15:03:45+0200;2023-07-25T15:03:45+0200;2023-06-20;1.0;6320.41;1.0;Maintenance BO 27/07/23 au 26/07/24;ACH23061583;0.0;
182;1;2017-05-16T10:54:33+0200;2023-09-15T09:53:59+0200;2017-05-01;2023-12-31;6;2;SE17050290 MA;0.0;1.0;0.0;1.0;267, avenue Pierre Semard;46000;CAHORS;France;;;29076.37;17003.87;140.84796024021537;368;290.0;256;137;1;;368;CAPEL;Agroalimentaire;1;caisse d'épargne;http://www.capel.fr;;CAHORS;France;2016-09-20T11:23:33+0200;368;1;;;;1;46000;3153.0;2023-01-10;SE17050290 MA05;BM1000000003153;1.0;4931.37;4931.37;0.0;1.0;52.0;schedule;1.0;0.0;368;ATA;1375.0;2023-01-10T17:01:24+0100;2023-01-10T17:01:24+0100;2022-12-12;1.0;0.0;1.0;Maintenance SAP BO 2023 - Unitaire;ACH22121375;0.0;
192;1;2017-07-24T10:42:12+0200;2023-09-15T10:47:32+0200;2017-07-24;2022-12-31;6;2;SE17070329;0.0;1.0;0.0;1.0;24 Avenue Barthelemy Thimonnier;69300;CALUIRE ET CUIRE;France;;;62147.98;25851.770000000004;71.22443362543915;60;329.0;20;13;1;;60;CARS PHILIBERT;Logistique;1;credit agricole;;;CALUIRE ET CUIRE;France;2016-01-10T10:16:35+0100;60;1;;;;-1;69300;3308.0;2023-02-16;SE17070329;BM1000000003308;0.0;9987.44;9987.44;0.0;1.0;52.0;schedule;1.0;0.0;60;ACA;1471.0;2023-02-16T12:17:27+0100;2023-02-16T12:17:27+0100;2022-12-12;1.0;5757.37;1.0;Maintenance SAP BO 2023 - Unitaire;ACH22121471;0.0;
203;1;2017-08-30T09:55:41+0200;2023-09-15T11:21:50+0200;2017-09-01;2023-12-31;6;2;SE17080342 MA03;0.0;1.0;0.0;1.0;35 rue de Marseille - CS 50623;69366;LYON CEDEX 07;France;;;47521.3;14619.530000000006;44.433870882934286;255;342.0;252;159;1;;255;SANTEVET;Assurance;1;;www.santevet.com;04 78 17 38 00;LYON CEDEX 07;France;2017-04-20T09:01:31+0200;255;1;;;;-1;69366;3310.0;2023-02-16;SE17080342 MA;BM1000000003310;0.0;7636.53;7636.53;0.0;1.0;52.0;schedule;1.0;0.0;255;Bd';1473.0;2023-02-16T12:24:40+0100;2023-02-16T12:24:40+0100;2022-12-12;1.0;5287.37;1.0;Maintenance SAP BO 2023 - Unitaire;ACH22121473;0.0;
