,id_crmsociete,csoc_societe,csoc_intervention,csoc_type,csoc_metiers,csoc_web,csoc_tel,csoc_ville,csoc_pays,csoc_date,id_profil,id_societe,id_pole,id_action_previous,id_action_next,id_provenance,csoc_cp
83,259,AEGLE,Edition de logiciels,1,"éditeur comme mini Cpage, aupres des milieux hospitaliers (petits hopitaux). Contrat EOM avec SAP (PCOE direct SAP). Nous intervenons pour compléter leur offre BO auprès de leurs clients. ex introduit auprès de l'hôpital privé d'Antony. sujets stats mais sans suites.",,,CERGY,France,2018-06-28T14:32:08+0200,255,1,,,,-1,95800
84,771,CHU Montpellier,Servies hospitaliers,1,CREDIT AGRICOLE,,04 67 33 67 33,Montpellier cedex 5,France,2022-02-25T09:40:19+0100,368,1,,,,-1,34295
85,1077,IFM Electronics,,0,Crédit Agricole,,,Le Bourget du Lac cedex,France,2023-08-24T11:46:07+0200,12,1,3,,,2,73374
86,223,ROYAL CANIN,Agroalimentaire,1,crédit agricole Languedoc,,04 66 73 03 00,AIMARGUES,France,2018-01-10T14:17:16+0100,12,1,,,,-1,30470
87,1081,Normand'e.santé,,0,,https://www.normand-esante.fr/,02 50 53 70 00,SAINT MARTIN DU VIVIER,France,2023-09-06T12:06:06+0200,71,1,3,,,-1,76160
88,722,SAINT-LÔ AGGLO,,1,rib Crédit Agricole Langedoc,http://www.saint-lo-agglo.fr/,,Saint-Lô,France,2021-09-02T10:45:44+0200,71,1,,,,-1,50008
89,1080,Agence de services et de paiement (ASP),,0,,https://www.asp-public.fr/,,Limoges Cedex 1,France,2023-09-05T16:59:17+0200,71,1,3,,,-1,87040
90,1057,PATRIMOINE SA LANGUEDOCIENNE,,2,Client facturé : BIAL'X,,,TOULOUSE,France,2023-07-31T14:34:46+0200,17,1,3,,,3,31077
91,249,COUR DES COMPTES,Secteur public,1,,,,PARIS,France,2018-04-20T11:38:32+0200,17,1,,,,12,75001
92,663,Direction du numérique Ministères Sociaux(DNUM),Secteur public,1,,,,Paris,France,2020-12-28T16:49:40+0100,64,1,,,,12,75739
93,644,"Direction de la Recherche, des Études, de l'Évaluation et des Statistiques (DREES)",Secteur public,1,,,,PARIS,France,2020-12-10T12:13:28+0100,17,1,,,,12,75015
94,921,Back Europ France,,2,Idea Informatique,,,PLOUGOUMELEN,France,2023-04-06T15:18:10+0200,368,1,,,,-1,56400
95,194,HCL - HOSPICES CIVILS DE LYON,Secteur public,1,caisse d'Epargne,,,BRON,France,2017-08-21T17:14:10+0200,12,1,,,,-1,69500
96,915,Groupe Actura - Réseau Etamines,,1,"Réseau Etamines, référencement des performances.
CREDIT AGRICOLE",https://www.actura.fr/accueil/innovation-etamines,,Blois,France,2023-03-30T15:33:10+0200,368,1,20,,,-1,41000
97,1076,VAR HABITAT,,2,Facturation via AAREON,https://www.varhabitat.com/,,LA VALETTE DU VAR,France,2023-08-21T21:27:38+0200,368,1,3,,,1,83160
98,1079,GREEN ENERGY SERVICE,Environnement,0,,www.greenenergyservice.fr,,PARIS,France,2023-08-30T15:20:05+0200,17,1,3,,,-1,75017
99,424,KEPLER CHEVREUX SA,,1,caisse d'Epargne,https://www.keplercheuvreux.com/fr/,,Paris Cedex 16,France,2019-10-23T17:39:39+0200,368,1,,,,-1,75784
100,1005,ELFY,sport,0,,https://elfy.app/,,HELLEMMES LILLE,France,2023-05-30T17:15:53+0200,17,1,2,,,-1,59260
101,1078,VILLE DE PONTAULT-COMBAULT,,1,,https://www.pontault-combault.fr/,,PONTAULT-COMBAULT,France,2023-08-28T06:48:46+0200,17,1,3,,,1,77340
